Cuisines,Aggregate rating
"Chinese, North Indian, Continental, Italian",3.4
"Chinese, North Indian, Continental, Mexican",2.7
"Chinese, North Indian, Fast Food",2.183333333
"Chinese, North Indian, Fast Food, Italian",4.033333333
"Chinese, North Indian, Fast Food, Street Food",0
"Chinese, North Indian, Italian",2.475
"Chinese, North Indian, Italian, Continental",3.2
"Chinese, North Indian, Italian, Continental, Fast Food",3.2
"Chinese, North Indian, Italian, Fast Food",3.6
"Chinese, North Indian, Italian, Mexican",3.8
"Chinese, North Indian, Italian, Mughlai",3
"Chinese, North Indian, Mithai, Street Food",2.6
"Chinese, North Indian, Mughlai",2.5625
"Chinese, North Indian, Mughlai, Continental",3.266666667
"Chinese, North Indian, Mughlai, Pizza",0
"Chinese, North Indian, Seafood",2.8
"Chinese, North Indian, South Indian",1.033333333
"Chinese, North Indian, South Indian, Fast Food",2
"Chinese, North Indian, South Indian, Healthy Food",3.1
"Chinese, North Indian, South Indian, Street Food",2.3
"Chinese, North Indian, Street Food",3.35
"Chinese, North Indian, Thai",3.5
"Chinese, Pizza",4.6
"Chinese, Seafood",3.4
"Chinese, Seafood, Asian",4.05
"Chinese, Seafood, Cantonese, Dim Sum",3.9
"Chinese, Seafood, Japanese",2.833333333
"Chinese, Seafood, North Indian, Biryani",4.2
"Chinese, Seafood, Thai",3.5
"Chinese, Seafood, Vegetarian",3.6
"Chinese, South Indian",1.6
"Chinese, South Indian, Fast Food",1.475
"Chinese, South Indian, North Indian",2.066666667
"Chinese, Steak",4.6
"Chinese, Street Food",1.4
"Chinese, Sushi, Thai",4.2
"Chinese, Thai",3.309803922
"Chinese, Thai, Asian",3.55
"Chinese, Thai, Asian, Japanese, Korean, Seafood",3.9
"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese",4
"Chinese, Thai, Burmese, Vietnamese, Tibetan, Japanese",4.4
"Chinese, Thai, Continental, Fast Food, North Indian",3.9
"Chinese, Thai, Continental, North Indian",3.75
"Chinese, Thai, Fast Food",2.8
"Chinese, Thai, Japanese",4.1
"Chinese, Thai, Japanese, Asian",4.4
"Chinese, Thai, Japanese, Tibetan",3.35
"Chinese, Thai, Malaysian, Indonesian",3.3
"Chinese, Thai, Malaysian, Vietnamese, Korean, Indonesian, Asian",3.8
"Chinese, Thai, North Indian",3.7
"Chinese, Thai, North Indian, Japanese",3.8
"Chinese, Thai, North Indian, South Indian",3.7
"Chinese, Thai, Seafood",3.4
"Chinese, Thai, Seafood, Naga",3.8
"Chinese, Thai, Seafood, North Indian, Italian",3
"Chinese, Thai, Sushi",3.95
"Chinese, Thai, Tibetan",4.2
"Chinese, Thai, Tibetan, Japanese",3.9
"Chinese, Tibetan",3.2
"Chinese, Tibetan, Fast Food",3.3
"Chinese, Tibetan, Japanese",3.6
"Coffee and Tea, Cuban, Latin American",3.9
"Coffee and Tea, Desserts",4.3
"Coffee and Tea, Desserts, Beverages",3.7
"Coffee and Tea, Mediterranean",4.3
"Coffee and Tea, Modern Australian",2.4
"Coffee and Tea, Sandwich",3.6
"Coffee and Tea, Tapas, Australian",3.6
"Coffee and Tea, Tea, Modern Australian",3.6
Contemporary,4.5
"Contemporary, Burger, European",4
"Contemporary, Italian",4.8
"Contemporary, Sushi, Grill, Italian, Steak",3.4
Continental,3.566666667
"Continental, American",3.92
"Continental, American, Asian, North Indian",4.15
"Continental, American, Cafe",4.1
"Continental, American, Fast Food",3.9
"Continental, American, Italian",3.766666667
"Continental, American, Italian, Bakery",3.9
"Continental, American, Italian, Mediterranean",3.8
"Continental, American, Italian, North Indian, Chinese",3.6
"Continental, American, Italian, North Indian, Chinese, Cafe",4.7
"Continental, American, Italian, Seafood, North Indian, Cafe",4
"Continental, American, North Indian",3.6
"Continental, American, North Indian, Chinese",3.65
